,omega_0 [rad/s],zeta_a [m],eta_3a [m],eta_5a [rad],mu_ua [-]
17,1.051872,1.0,(0.4018070851108146-0.5961335096718948j),(0.023219715487608046+0.0764736615049769j),(-0.40828855864096275-0.15650346194974313j)
18,1.080771,1.0,(0.3799838227751753-0.6370079260922924j),(0.032216689492048964+0.07204385755080954j),(-0.43106528352904705-0.1269546959735465j)
19,1.109129,1.0,(0.34978175059874117-0.670814276785245j),(0.04063373165619369+0.06635173444098157j),(-0.4537159289216409-0.08997187800405962j)
20,1.136975,1.0,(0.3125918740745768-0.6958390526464555j),(0.04817184328953583+0.05946451165078148j),(-0.47453511286800254-0.04618041872368828j)
21,1.164335,1.0,(0.2703520048218248-0.710746212141386j),(0.054548458572456146+0.05155010533670244j),(-0.4919578132941984+0.0032556425494072727j)
22,1.191235,1.0,(0.22539251748402664-0.7147928536482735j),(0.059536794095311346+0.04286808395608367j),(-0.5047697115011996+0.056703523067001466j)
23,1.217696,1.0,(0.18019524979372908-0.7079627062426339j),(0.06299889468168977+0.033744120161972924j),(-0.5122641660380807+0.11220920818926336j)
24,1.24374,1.0,(0.1371005002852399-0.6909750791629554j),(0.0649048495358222+0.024529171204032273j),(-0.5143297553361901+0.16772599849772513j)
25,1.269386,1.0,(0.09805870860701688-0.6651608304330558j),(0.06533003712147913+0.01555827700631863j),(-0.5114164551811545+0.22133730042073557j)
26,1.294651,1.0,(0.06446229505767016-0.6322568637163245j),(0.06443728392798119+0.0071146873125977495j),(-0.5044213328212472+0.27143986083663885j)
27,1.319552,1.0,(0.03709123411701773-0.5941609713421706j),(0.06244635071746535-0.0005921317136415027j),(-0.4945177472289732+0.31685382627503195j)
28,1.344104,1.0,(0.016161445605197527-0.5527208051213972j),(0.05960217129021081-0.007432318326608303j),(-0.48297826296230845+0.35684205586594553j)
29,1.368322,1.0,(0.0014346947248767006-0.5095753357367182j),(0.056146788750424226-0.013350132263519719j),(-0.47102427456820783+0.39106821717631274j)
30,1.392219,1.0,(-0.00764004685212169-0.4660744934477218j),(0.0522999482620913-0.01834902826748861j),(-0.4597267127490018+0.4195119961409204j)
31,1.415806,1.0,(-0.011795066823224287-0.42325640575489376j),(0.04824834733290129-0.022475007312744662j),(-0.4499541605204348+0.44237592228628225j)
32,1.439097,1.0,(-0.011836909192220912-0.38185521592231164j),(0.044140806629927754-0.025801905509212873j),(-0.4423531241567062+0.460000819236692j)
33,1.462101,1.0,(-0.008565241657676512-0.34236160688794187j),(0.0400914609674106-0.02841606427677118j),(-0.4373690152590759+0.4727920588616863j)
34,1.48483,1.0,(-0.0027262411793401303-0.3050563556866198j),(0.036182217784220115-0.03040870598468105j),(-0.43526295447318525+0.4811731405871597j)
35,1.507292,1.0,(0.0050156330175094785-0.2700744175195459j),(0.03246951835404289-0.03186777437633407j),(-0.43614824580590816+0.48554966469428146j)
36,1.529498,1.0,(0.014088133580089871-0.23743668421418185j),(0.028988616979274216-0.03287511181341959j),(-0.4400222256716937+0.4862931139126306j)
37,1.551455,1.0,(0.02400912507544801-0.20709609129466583j),(0.025759573957701544-0.03350375012905187j),(-0.4467908213306046+0.48373277753962063j)
38,1.573171,1.0,(0.034381341983820715-0.17895702027497465j),(0.022790700594455954-0.033817794952608275j),(-0.45629240692538364+0.4781529095719868j)
39,1.594656,1.0,(0.04488342222520303-0.1528946440970671j),(0.02008180305732577-0.03387252400394661j),(-0.46831819315256623+0.46979590525503734j)
40,1.615915,1.0,(0.055257191835445724-0.12877791272212546j),(0.01762759722301459-0.03371467213605514j),(-0.48262245031742285+0.45886852701764924j)
41,1.636955,1.0,(0.06529978055937688-0.10647059183440993j),(0.015418930014233783-0.033383598959611835j),(-0.498937429697845+0.4455472689265253j)
