,omega_0 [rad/s],zeta_a [m],eta_3a [m],eta_5a [rad],mu_ua [-]
41,1.636955,1.0,(0.3737998707145555+0.13473973535506206j),(0.01874845296449541-0.038019839090188606j),(-1.2309836198366153+0.09402875772575531j)
42,1.657784,1.0,(0.36773607633922806+0.14086562896366106j),(0.016721462990529942-0.037018714734118476j),(-1.2461598502747917+0.07593032543927397j)
43,1.678408,1.0,(0.3608877828115823+0.14548164521296814j),(0.01490183771748648-0.035962684310622994j),(-1.2593189133613143+0.05822812745729397j)
44,1.698832,1.0,(0.35325061894306176+0.14871977659727031j),(0.013275176548947516-0.034868286929138494j),(-1.270186726550911+0.04112685105376385j)
45,1.719062,1.0,(0.34483554452859316+0.15070093789438452j),(0.011827729974443504-0.03374887996983202j),(-1.2785095361747114+0.024816203048483004j)
46,1.739104,1.0,(0.33566660409351284+0.1515358022023288j),(0.010546343098187444-0.03261498261299724j),(-1.2840516051456274+0.00947120936754653j)
47,1.758963,1.0,(0.3257774990919548+0.15132596363698905j),(0.009418595539122433-0.03147511664838793j),(-1.286596568594878-0.004744672802579175j)
48,1.778643,1.0,(0.3152093349971922+0.15016462338735384j),(0.008432915915639513-0.030336063179833936j),(-1.2859470633286192-0.017678394285154497j)
49,1.79815,1.0,(0.3040075620812781+0.14813736528186922j),(0.007578282961300319-0.02920299897413659j),(-1.2819272884625725-0.029190484738378264j)
50,1.817488,1.0,(0.2922220978667303+0.14532307587695661j),(0.006844502660118618-0.028080002365994238j),(-1.2743816803722385-0.03915013628123909j)
51,1.836661,1.0,(0.2799053167207305+0.14179531891187028j),(0.006221934064368125-0.02697023789978658j),(-1.2631735866470706-0.047438693136808985j)
52,1.855673,1.0,(0.2671108930500899+0.1376222300849842j),(0.005701570630202737-0.025876045960165586j),(-1.248188118771284-0.05394776368842452j)
53,1.874529,1.0,(0.2538925519326601+0.1328673397019429j),(0.0052748795378465985-0.024799058721050135j),(-1.229328678498118-0.0585816069495082j)
54,1.893232,1.0,(0.24030524969959294+0.1275905996784671j),(0.004933903064350438-0.023740495277691852j),(-1.2065200327963006-0.061255014810483344j)
55,1.911786,1.0,(0.2264029427851611+0.12184852384409986j),(0.004671026077769241-0.022701122249886328j),(-1.1797049446122203-0.061896378638446825j)
56,1.930195,1.0,(0.21223859899119918+0.11569424563622309j),(0.004479109773776718-0.021681335543132178j),(-1.148845631331848-0.06044629685794772j)
57,1.94846,1.0,(0.19786662771259092+0.10917962396741979j),(0.004351262124892007-0.020681451883484088j),(-1.1139277539271437-0.05685959712157346j)
58,1.966588,1.0,(0.1833349366633523+0.10235141362017652j),(0.004281088694377947-0.019701212546443192j),(-1.074944552989309-0.05110303505794089j)
59,1.984579,1.0,(0.16869573908940988+0.09525706436259973j),(0.004262366349047424-0.018740601700254846j),(-1.0319212412683987-0.043159621415488736j)
60,2.002437,1.0,(0.15399631962356536+0.08794049554995166j),(0.00428916663628014-0.017799244590655044j),(-0.9848916289161533-0.03302617118475093j)
61,2.020165,1.0,(0.13928271501585598+0.08044386618101412j),(0.00435589838851217-0.016876731603271695j),(-0.9339096657478021-0.020713452824724643j)
62,2.037766,1.0,(0.12459917141842908+0.07280765644291139j),(0.004457164728129731-0.015972591530906317j),(-0.8790455502921283-0.006247402687826753j)
63,2.055243,1.0,(0.10998778040413776+0.06507063701414377j),(0.004587848797542194-0.015086333140842853j),(-0.8203846602915544+0.010331709832500563j)
64,2.072598,1.0,(0.0954895732967888+0.057270323577006704j),(0.004743008640557997-0.01421747759061108j),(-0.7580322832718718+0.028967817617026548j)
65,2.089833,1.0,(0.08114344100355023+0.04944268226784793j),(0.004917925395495513-0.013365561394591446j),(-0.6921088085160473+0.04959011541875988j)
66,2.106951,1.0,(0.0669852352534702+0.04162159516028356j),(0.005108144855364887-0.012530093133941517j),(-0.6227451047607996+0.07211471833692437j)
