,omega_0 [rad/s],zeta_a [m],eta_3a [m],eta_5a [rad],mu_ua [-]
39,1.594656,1.0,(0.16146245187521932+0.0317371139966684j),(-0.03368705818316114-0.03025418615188781j),(-0.15475062854420596+0.2030320822019321j)
40,1.615915,1.0,(0.17035379074099066+0.03825202256206758j),(-0.032589436795101775-0.029252796913624646j),(-0.1906600902166161+0.19129242259672988j)
41,1.636955,1.0,(0.17814243655882223+0.0444622805544005j),(-0.03143082685830607-0.02826136021501725j),(-0.22729161309089144+0.17802784509004055j)
42,1.657784,1.0,(0.18486282416655658+0.050390480256572154j),(-0.03021972404849716-0.027279188627455295j),(-0.26440556385930714+0.16322623310246298j)
43,1.678408,1.0,(0.1905492686612066+0.05605137454047984j),(-0.028963760282173852-0.026305409422174977j),(-0.30175948219103943+0.14688597533054498j)
44,1.698832,1.0,(0.19523646330798564+0.061453770176833095j),(-0.027669877908881663-0.02533900592825754j),(-0.33910967459502844+0.12901520338981942j)
45,1.719062,1.0,(0.19895906181954612+0.066602141590029j),(-0.026344245224278848-0.0243789131317013j),(-0.3762150929594159+0.10963292571162536j)
46,1.739104,1.0,(0.20175147902582877+0.07149754747169326j),(-0.024992486868728195-0.02342410517786228j),(-0.4128354863141939+0.08876844517978985j)
47,1.758963,1.0,(0.20364747919741366+0.07613804204699731j),(-0.023619784638337176-0.022473718286239196j),(-0.4487307663061417+0.06646354916996935j)
48,1.778643,1.0,(0.20468043295794527+0.08051964799541071j),(-0.0222310122658859-0.021527083628747237j),(-0.4836607309309782+0.042772925350350814j)
49,1.79815,1.0,(0.20488357684142677+0.08463755933898182j),(-0.020830584761211843-0.020583598972505758j),(-0.5173915942461587+0.017759983122668577j)
50,1.817488,1.0,(0.2042897401189897+0.08848560305716939j),(-0.0194227565506215-0.019642920546965162j),(-0.5496897913407154-0.008497939826198023j)
51,1.836661,1.0,(0.20293168722610636+0.09205734768260546j),(-0.018011574352721816-0.018704894631289742j),(-0.5803257772530018-0.035912495450172804j)
52,1.855673,1.0,(0.2008421752209899+0.09534631416452327j),(-0.01660089433763872-0.017769534684875205j),(-0.6090752792930678-0.06438454170513919j)
53,1.874529,1.0,(0.19805382853811035+0.09834636521657447j),(-0.015194320774683983-0.016836969553928882j),(-0.6357217219099427-0.09380645357153164j)
54,1.893232,1.0,(0.19459965404038548+0.10105151659055213j),(-0.013795481963792936-0.015907576264586956j),(-0.6600524068716925-0.12405778746190849j)
55,1.911786,1.0,(0.19051269750295027+0.1034565741708015j),(-0.012407799953922358-0.014981836090231697j),(-0.6818643147269392-0.1550107908843882j)
56,1.930195,1.0,(0.18582621350495995+0.10555710754331177j),(-0.011034588798317767-0.014060348726806657j),(-0.7009629575621953-0.186529503673316j)
57,1.94846,1.0,(0.1805745653094884+0.10734921562674657j),(-0.009679272964540672-0.013143981225643902j),(-0.717161570884818-0.21846515199771113j)
58,1.966588,1.0,(0.1747907449862908+0.10883065295368421j),(-0.008344754577420488-0.012233405501406336j),(-0.7302893723290025-0.2506727979676127j)
59,1.984579,1.0,(0.1685101216179551+0.10999946162902519j),(-0.007034327769067276-0.011329727984041091j),(-0.7401823208020899-0.28298947504787075j)
60,2.002437,1.0,(0.16176724217725025+0.11085523335335298j),(-0.005750925531736412-0.01043393021368794j),(-0.746692263249195-0.31525445282096953j)
61,2.020165,1.0,(0.15459724052500182+0.11139851988123742j),(-0.004497438296758001-0.009547107269216919j),(-0.7496846563613888-0.34730139076899735j)
62,2.037766,1.0,(0.1470355544812853+0.11163097472642183j),(-0.0032766561430620207-0.008670394532408194j),(-0.749039854026178-0.3789611778921642j)
63,2.055243,1.0,(0.13911785510185576+0.11155540489176183j),(-0.0020912668936604053-0.007804972708769715j),(-0.7446536435948576-0.4100629458969585j)
64,2.072598,1.0,(0.1308805034139949+0.11117568686346908j),(-0.0009439081320434099-0.0069520893104577505j),(-0.7364392265088181-0.4404333522229167j)
65,2.089833,1.0,(0.12236011561527156+0.11049680288802607j),(0.0001629038396774873-0.006112995435450345j),(-0.7243281387762613-0.46989972064712127j)
66,2.106951,1.0,(0.11359288477501106+0.10952480760283738j),(0.0012268504239536138-0.005288908758916792j),(-0.7082693855757671-0.49829254190853994j)
67,2.123955,1.0,(0.10461502897278148+0.10826671519596362j),(0.002245739079432436-0.004481033101768563j),(-0.6882306791720905-0.5254448355611928j)
68,2.140847,1.0,(0.09546323014108181+0.10673055024133485j),(0.0032174657574696366-0.0036906052458989935j),(-0.664200525713935-0.5511916546506037j)
69,2.157628,1.0,(0.08617463688652269+0.10492539410994742j),(0.0041400269801098845-0.0029188802205946354j),(-0.6361898083837533-0.5753715519176226j)
70,2.174301,1.0,(0.07678510395872809+0.10286102330525507j),(0.005011691888170029-0.0021669887036556553j),(-0.6042272726817846-0.5978319460833673j)
71,2.190869,1.0,(0.06733013647490182+0.10054795475293166j),(0.005830892168586793-0.0014360259786968784j),(-0.5683621433942454-0.6184266086422191j)
72,2.207333,1.0,(0.05784598787710577+0.09799771437583135j),(0.006596136115799049-0.0007271298332590188j),(-0.5286693998316864-0.6370145853917695j)
73,2.223694,1.0,(0.04836843797210785+0.09522259811043923j),(0.007306123894027343-4.138680583708502e-05j),(-0.48524659661985414-0.6534641008660095j)
74,2.239955,1.0,(0.03893149446422925+0.09223517689746713j),(0.007959836680345663+0.00062025484655332j),(-0.43820822513041763-0.6676549065398922j)
75,2.256118,1.0,(0.029569007523647432+0.08904877791834999j),(0.008556396836126834+0.0012568547231057035j),(-0.3876921261410387-0.6794754730967797j)
76,2.272185,1.0,(0.02031405957317326+0.0856771523624296j),(0.009095128715390227+0.001867539017376413j),(-0.3338583343715148-0.6888255787634127j)
77,2.288157,1.0,(0.011199363238328862+0.08213476601725561j),(0.009575523313700065+0.002451449209457947j),(-0.27689111940371497-0.6956157843723298j)
78,2.304035,1.0,(0.002256635915625014+0.07843643903388507j),(0.009997284435593003+0.003007804680385074j),(-0.21699681802927742-0.6997695144693934j)
79,2.319822,1.0,(-0.006484698076266831+0.07459688858758379j),(0.010360377273600967+0.0035359458994814177j),(-0.1543939538291258-0.7012230200392943j)
