,f_enc [Hz],zeta_a [m],eta_3a [m],eta_5a [rad],mu_ua [-]
487,24.425626154225007,0.00018097575528375613,4.895720061666997e-05,1.3338811643328949e-06,0.15301524734969693
488,24.47557478617828,0.00018045721535457407,3.9105478829254925e-05,1.06257986323478e-06,0.12271299862056728
489,24.525529602590563,0.00017995221805541044,2.9321074771654572e-05,7.94522554390563e-07,0.092377080298052
490,24.575477652889102,0.00017942629484918725,2.1273619750476254e-05,5.75246848550816e-07,0.06729048436417094
491,24.625431588011907,0.00017892537538214328,1.8488988083870027e-05,5.001695424500649e-07,0.05871525492593063
492,24.675378431664907,0.00017840359466018076,2.299544511060027e-05,6.220027466882427e-07,0.07331632947855946
493,24.725324434779186,0.00017789532972306403,3.1340922300446866e-05,8.458421777250871e-07,0.10031989939600454
494,24.77527587442034,0.00017740045497493495,4.0533981028459795e-05,1.0910717370936089e-06,0.13025892625027946
495,24.825226175116626,0.0001768961586671019,4.9300556866830885e-05,1.3236196202527455e-06,0.15905575830831306
496,24.875175181408213,0.00017639386964628018,5.703110425164908e-05,1.527341792324054e-06,0.18472050202338003
497,24.925122737995537,0.0001758935784255995,6.336492295332332e-05,1.6928315550567465e-06,0.20604136830506614
498,24.975081607133315,0.0001754178385880781,6.806734059870499e-05,1.8141061076453476e-06,0.22219965156465332
499,25.025025811955953,0.0001748988468365984,7.098514905215298e-05,1.8873956059331277e-06,0.23263075459886445
500,25.0749745737169,0.00017441573443974115,7.203946742380816e-05,1.910929369455492e-06,0.23700735679169602
501,25.124927757072385,0.00017393448946566363,7.121374079018923e-05,1.8846043238040831e-06,0.23520337886461667
502,25.174872257871087,0.0001734327024386388,6.855401893670638e-05,1.8099683098175403e-06,0.22729889537982595
503,25.2248208842385,0.00017295531144278066,6.41655921833614e-05,1.6901157575174605e-06,0.21357376510177903
504,25.274773501233952,0.0001724797616144928,5.821416007145893e-05,1.5297041854537219e-06,0.1945146372793476
505,25.324723470315902,0.00017199490452414698,5.0931524092739175e-05,1.3350883465318497e-06,0.17083810887701437
506,25.374677147697017,0.0001715230834286566,4.262985955230606e-05,1.1146776743304705e-06,0.14354334843369998
507,25.42462136575977,0.00017103087698556443,3.376181610146956e-05,8.805012571249768e-07,0.11412015276842911
508,25.47457552047963,0.000170573901710769,2.5095666014139417e-05,6.527790128841722e-07,0.08515293469925846
509,25.524526438120457,0.00017009651270448028,1.83279097423444e-05,4.759147564191343e-07,0.06242737954593749
510,25.57448050106112,0.00016963204533149576,1.680034134432142e-05,4.365953383165441e-07,0.05744319977961266
511,25.624424491129414,0.00016914731649693573,2.1591550453824215e-05,5.608461354519601e-07,0.07410680732890222
512,25.674377881522467,0.00016869754711260412,2.9316512268783333e-05,7.597751878828154e-07,0.10100362322518408
513,25.7243274479745,0.00016822748822639048,3.757003763360456e-05,9.712146781127555e-07,0.12993114572219744
514,25.774279598930434,0.00016777023851216943,4.534102989882028e-05,1.169213120565912e-06,0.15740078762432028
515,25.824221065863703,0.00016729284927376734,5.2125525625417784e-05,1.3409626264504285e-06,0.1816377955187605
516,25.87417139889261,0.0001668501522145217,5.762185429277598e-05,1.4789147185531474e-06,0.20154882874177826
517,25.924123903616103,0.00016639819343159466,6.162859920813035e-05,1.578140729236193e-06,0.2163761870341624
518,25.974078446916323,0.00016594795918254231,6.401872155698142e-05,1.6356466583855386e-06,0.2256134857950511
519,26.024028302943716,0.00016548857480728913,6.472738087520791e-05,1.6500481154661557e-06,0.22896737900067488
520,26.0739799190382,0.00016504183409200526,6.374774309551592e-05,1.6214440786260648e-06,0.22634694026350347
521,26.123926556978628,0.0001645859648792555,6.112822444901761e-05,1.5513370740592177e-06,0.21785747746303896
522,26.173881288824315,0.00016415349518159177,5.6970282222071076e-05,1.4425587126540144e-06,0.20379660126471508
